master_sequence_id,reference_scene_id,sequence_id,scan_id_1,scan_id_2,scan_index_1,scan_index_2,point_count,split,exact_ordered_pair,validation_supervised,pair_substituted,reverse_pair_substituted,future_stage_leakage,overlap_official_t2,parity_scan_ids,parity_point_counts,parity_instance_gt,parity_semantic_labels,parity_temporal_stages,parity_change_labels,bridge_change_sha256
scene0079_00-scene0079_09-scene0079_05-scene0079_04-scene0079_03,137a8158-1db5-2cc0-8003-31c12610471e,scene0079_00-scene0079_09,scene0079_00,scene0079_09,27,36,113770,validation,true,true,false,false,false,false,,,,,,,417ac4984f10ef0e919dc56dec9648cdd4c2c994ff210b246ac3b9531c3a162c
scene0079_01-scene0079_06-scene0079_11-scene0079_10-scene0079_02,137a8158-1db5-2cc0-8003-31c12610471e,scene0079_01-scene0079_06,scene0079_01,scene0079_06,28,33,71725,validation,true,true,false,false,false,false,,,,,,,3fc272826c1cdb777843a3e240f887687b552ca06cf3d9bc7eb2420380beca5c
scene0079_02-scene0079_08-scene0079_00-scene0079_09-scene0079_05,137a8158-1db5-2cc0-8003-31c12610471e,scene0079_02-scene0079_08,scene0079_02,scene0079_08,29,35,100951,validation,true,true,false,false,false,false,,,,,,,7f023373a959142587ba5e76fe609d21a6e63eaa434798e87dd37d58cf66c3be
scene0079_03-scene0079_07-scene0079_01-scene0079_06-scene0079_11,137a8158-1db5-2cc0-8003-31c12610471e,scene0079_03-scene0079_07,scene0079_03,scene0079_07,30,34,63653,validation,true,true,false,false,false,false,,,,,,,8b9a5c591fa0df8a74934aa902e01f0f525430f697d34d3b1fd47d35bac58349
scene0079_04-scene0079_03-scene0079_07-scene0079_01-scene0079_06,137a8158-1db5-2cc0-8003-31c12610471e,scene0079_04-scene0079_03,scene0079_04,scene0079_03,31,30,48972,validation,true,true,false,false,false,false,,,,,,,0872737bc5ee4bc37e3afa7aa115ebbfe133b7c011fa8ff881a16ae30bccb43c
scene0079_05-scene0079_04-scene0079_03-scene0079_07-scene0079_01,137a8158-1db5-2cc0-8003-31c12610471e,scene0079_05-scene0079_04,scene0079_05,scene0079_04,32,31,76310,validation,true,true,false,false,false,false,,,,,,,4a3d254f2b1b45f87a51f5241b030834d4058875afde1ca5b2697807dbf98088
scene0079_06-scene0079_11-scene0079_10-scene0079_02-scene0079_08,137a8158-1db5-2cc0-8003-31c12610471e,scene0079_06-scene0079_11,scene0079_06,scene0079_11,33,38,117917,validation,true,true,false,false,false,false,,,,,,,66e7fa8a9fc157a8b04e14704acaadd36e77f48fb9fe6da0254d6bd993d0f753
scene0079_07-scene0079_01-scene0079_06-scene0079_11-scene0079_10,137a8158-1db5-2cc0-8003-31c12610471e,scene0079_07-scene0079_01,scene0079_07,scene0079_01,34,28,67661,validation,true,true,false,false,false,false,,,,,,,b10cfcf86c763dfdc39cb2fd9a5726a28bed9090ce523360b00859ff0c18e288
scene0079_08-scene0079_00-scene0079_09-scene0079_05-scene0079_04,137a8158-1db5-2cc0-8003-31c12610471e,scene0079_08-scene0079_00,scene0079_08,scene0079_00,35,27,126687,validation,true,true,false,false,false,true,true,true,true,true,true,true,2697dac7cec409b4820db2b7b2e20b3cb1bd01e1df6f5d0cfb97d0f2a5cf62ea
scene0079_09-scene0079_05-scene0079_04-scene0079_03-scene0079_07,137a8158-1db5-2cc0-8003-31c12610471e,scene0079_09-scene0079_05,scene0079_09,scene0079_05,36,32,85522,validation,true,true,false,false,false,false,,,,,,,96da9265b691b09bd155487275a269c2f1023dd145eb3eea09784d4bfa4522bc
scene0079_10-scene0079_02-scene0079_08-scene0079_00-scene0079_09,137a8158-1db5-2cc0-8003-31c12610471e,scene0079_10-scene0079_02,scene0079_10,scene0079_02,37,29,104037,validation,true,true,false,false,false,false,,,,,,,6928fbf24e5f34fe2b299bc0cb9170f5e83adf094b048534cfa1585966ff46cd
scene0079_11-scene0079_10-scene0079_02-scene0079_08-scene0079_00,137a8158-1db5-2cc0-8003-31c12610471e,scene0079_11-scene0079_10,scene0079_11,scene0079_10,38,37,124387,validation,true,true,false,false,false,false,,,,,,,c598bd120eb157f95519f1ca398025906abc5c02894fe03a2504b2c732a12d1c
scene0119_00-scene0119_02-scene0119_03-scene0119_01-scene0119_04,280d8ebb-6cc6-2788-9153-98959a2da801,scene0119_00-scene0119_02,scene0119_00,scene0119_02,46,48,184174,validation,true,true,false,false,false,true,true,true,true,true,true,true,afcc49448db77321d86f9f6f50da62f3f4e9556cd25bdbc5e3252a3375fd8891
scene0119_01-scene0119_04-scene0119_00-scene0119_02-scene0119_03,280d8ebb-6cc6-2788-9153-98959a2da801,scene0119_01-scene0119_04,scene0119_01,scene0119_04,47,50,189099,validation,true,true,false,false,false,false,,,,,,,8d877871c2e6569c2c3e3211dc78a070d4bba8062d19da9561f70eea41490893
scene0119_02-scene0119_03-scene0119_01-scene0119_04-scene0119_00,280d8ebb-6cc6-2788-9153-98959a2da801,scene0119_02-scene0119_03,scene0119_02,scene0119_03,48,49,167087,validation,true,true,false,false,false,false,,,,,,,55a1377bbc73cd224476fdc88d8b747cf99283cf79f94eff99c3a40297e85a4d
scene0119_03-scene0119_01-scene0119_04-scene0119_00-scene0119_02,280d8ebb-6cc6-2788-9153-98959a2da801,scene0119_03-scene0119_01,scene0119_03,scene0119_01,49,47,142278,validation,true,true,false,false,false,false,,,,,,,127061aeb944f60e68cf73bc6e3dfd2e26401aef7279e0b60e0f3fdcd6386e54
scene0119_04-scene0119_00-scene0119_02-scene0119_03-scene0119_01,280d8ebb-6cc6-2788-9153-98959a2da801,scene0119_04-scene0119_00,scene0119_04,scene0119_00,50,46,227334,validation,true,true,false,false,false,true,true,true,true,true,true,true,3d8ad072003787568d9d74f266bac1c0d84cccaf4768974f647834ae2cf6f8eb
scene0219_00-scene0219_03-scene0219_02-scene0219_01-scene0219_04,5630cfcf-12bf-2860-8784-83d28a611a83,scene0219_00-scene0219_03,scene0219_00,scene0219_03,80,83,108716,validation,true,true,false,false,false,false,,,,,,,8c797eabf527d3c1ac4f9aa0b61e5b3c5651bf14b1d7363d93592a5281d553fa
scene0219_01-scene0219_04-scene0219_00-scene0219_03-scene0219_02,5630cfcf-12bf-2860-8784-83d28a611a83,scene0219_01-scene0219_04,scene0219_01,scene0219_04,81,84,100521,validation,true,true,false,false,false,false,,,,,,,0b0e074255a88111f582b73dc1ff1b9c16a699c302335a4d1af27817dfd2b6e7
scene0219_02-scene0219_01-scene0219_04-scene0219_00-scene0219_03,5630cfcf-12bf-2860-8784-83d28a611a83,scene0219_02-scene0219_01,scene0219_02,scene0219_01,82,81,93812,validation,true,true,false,false,false,true,true,true,true,true,true,true,2d91b0148f242ad62a87178794a22aed1dbd04135add24fd4956acc889166516
scene0219_03-scene0219_02-scene0219_01-scene0219_04-scene0219_00,5630cfcf-12bf-2860-8784-83d28a611a83,scene0219_03-scene0219_02,scene0219_03,scene0219_02,83,82,109605,validation,true,true,false,false,false,false,,,,,,,6f1c2ca95a87c5bd63840cb7c13aeae6e4a2d88d0b8062acebc82abcd130c613
scene0219_04-scene0219_00-scene0219_03-scene0219_02-scene0219_01,5630cfcf-12bf-2860-8784-83d28a611a83,scene0219_04-scene0219_00,scene0219_04,scene0219_00,84,80,113892,validation,true,true,false,false,false,true,true,true,true,true,true,true,473bc64d30bc75d6731546c031c2858c8d904593de4f3c7a086f75e6b760a17e
scene0309_00-scene0309_02-scene0309_01-scene0309_04-scene0309_03,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_00-scene0309_02,scene0309_00,scene0309_02,104,106,180028,validation,true,true,false,false,false,true,true,true,true,true,true,true,f09888f2c1a224285aa222fc453a07b5c5518f5509665c67fbb53686c0033677
scene0309_01-scene0309_04-scene0309_03-scene0309_00-scene0309_02,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_01-scene0309_04,scene0309_01,scene0309_04,105,108,109486,validation,true,true,false,false,false,true,true,true,true,true,true,true,443b3ab42816bc26be01c2cc0ab6eafdf10d26fefb76c5267945fee27e51a0e1
scene0309_02-scene0309_01-scene0309_04-scene0309_03-scene0309_00,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_02-scene0309_01,scene0309_02,scene0309_01,106,105,130502,validation,true,true,false,false,false,true,true,true,true,true,true,true,94256a018a9accbefd4a35015517a0f5709718c2591889d6517c6f2093d66825
scene0309_03-scene0309_00-scene0309_02-scene0309_01-scene0309_04,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_03-scene0309_00,scene0309_03,scene0309_00,107,104,135948,validation,true,true,false,false,false,true,true,true,true,true,true,true,e1a34f6d5f9db3d02220e6c5762fdf5c1e0943de0adcb1ad7c0ea7d1c335a680
scene0309_04-scene0309_03-scene0309_00-scene0309_02-scene0309_01,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_04-scene0309_03,scene0309_04,scene0309_03,108,107,107348,validation,true,true,false,false,false,true,true,true,true,true,true,true,b122e7432324966f2b292903e2ffa3b0cedf0dc8f1074542aa1418355336d109
scene0449_00-scene0449_04-scene0449_05-scene0449_03-scene0449_01,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_00-scene0449_04,scene0449_00,scene0449_04,147,151,184916,validation,true,true,false,false,false,false,,,,,,,6384c18885955311da74ba5081028028864865dea04c3759b0785c3b43376550
scene0449_01-scene0449_02-scene0449_00-scene0449_04-scene0449_05,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_01-scene0449_02,scene0449_01,scene0449_02,148,149,85551,validation,true,true,false,false,false,false,,,,,,,6ad0e5a92685b205c0f8d2029ab44865a0af5fdad7808cdbb344855dd7c958e0
scene0449_02-scene0449_00-scene0449_04-scene0449_05-scene0449_03,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_02-scene0449_00,scene0449_02,scene0449_00,149,147,140615,validation,true,true,false,false,false,true,true,true,true,true,true,true,9fd4d4100b08027fe17ef1392eff49c89b906bfd6430a6aa048d31706395f15d
scene0449_03-scene0449_01-scene0449_02-scene0449_00-scene0449_04,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_03-scene0449_01,scene0449_03,scene0449_01,150,148,70052,validation,true,true,false,false,false,true,true,true,true,true,true,true,1a65357dedd8d7cb43a070cb3fc7f170677abb8d136015fa0e697c20b5c1a5ca
scene0449_04-scene0449_05-scene0449_03-scene0449_01-scene0449_02,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_04-scene0449_05,scene0449_04,scene0449_05,151,152,199046,validation,true,true,false,false,false,false,,,,,,,dbfbd542138290ddbea4f06ebfda574a9e8af7791060b2e62876e723bd0bc05b
scene0449_05-scene0449_03-scene0449_01-scene0449_02-scene0449_00,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_05-scene0449_03,scene0449_05,scene0449_03,152,150,139246,validation,true,true,false,false,false,true,true,true,true,true,true,true,b59684b94a9ed7aa46e214115935c0fb3860d4e5cbaa54b76a6d6bb5a826fabb
