rank,rank_offset,global_draw_position,mixed_dataset_index,dataset,child_index,sample_id
0,89,1199,769,rio,769,scene0317_00-scene0317_01
0,90,310,397,rio,397,scene0174_02-scene0174_00
0,91,168,234,rio,234,scene0098_02-scene0098_00
0,92,1025,1339,scannet,165,scene0092_01
0,93,228,1857,scannet,683,scene0381_02
0,94,1062,2305,scannet,1131,scene0649_00
0,95,1957,733,rio,733,scene0303_02-scene0303_00
0,96,1660,214,rio,214,scene0091_01-scene0091_00
0,97,356,2006,scannet,832,scene0468_00
0,98,24,356,rio,356,scene0158_00-scene0158_02
0,99,170,64,rio,64,scene0025_01-scene0025_00
0,100,1938,404,rio,404,scene0175_02-scene0175_05
0,101,321,1150,rio,1150,scene0471_01-scene0471_00
0,102,1303,1502,scannet,328,scene0175_00
0,103,876,1213,scannet,39,scene0021_00
0,104,1031,1122,rio,1122,scene0457_01-scene0457_00
0,105,1759,742,rio,742,scene0306_02-scene0306_03
0,106,314,1466,scannet,292,scene0158_01
0,107,1192,1889,scannet,715,scene0398_00
0,108,1830,1734,scannet,560,scene0306_00
0,109,1630,1196,scannet,22,scene0010_01
0,110,1797,1514,scannet,340,scene0182_00
0,111,378,1572,scannet,398,scene0215_00
0,112,401,30,rio,30,scene0008_02-scene0008_04
0,113,1330,145,rio,145,scene0064_00-scene0064_01
0,114,249,556,rio,556,scene0228_05-scene0228_03
0,115,1570,101,rio,101,scene0043_00-scene0043_01
0,116,1499,769,rio,769,scene0317_00-scene0317_01
0,117,965,1381,scannet,207,scene0111_02
0,118,260,138,rio,138,scene0061_02-scene0061_01
0,119,353,1468,scannet,294,scene0159_00
0,120,50,1654,scannet,480,scene0265_01
0,121,1503,1241,scannet,67,scene0037_00
0,122,868,1464,scannet,290,scene0157_01
0,123,2053,897,rio,897,scene0366_01-scene0366_04
0,124,1276,1445,scannet,271,scene0143_01
0,125,932,1929,scannet,755,scene0419_02
0,126,887,139,rio,139,scene0062_00-scene0062_02
0,127,354,1836,scannet,662,scene0370_00
0,128,1720,1557,scannet,383,scene0209_01
0,129,1138,1479,scannet,305,scene0163_01
0,130,309,377,rio,377,scene0166_02-scene0166_01
0,131,606,1421,scannet,247,scene0130_00
0,132,1889,2187,scannet,1013,scene0576_00
0,133,1299,73,rio,73,scene0028_01-scene0028_02
0,134,952,2020,scannet,846,scene0473_00
0,135,982,1886,scannet,712,scene0396_02
0,136,1394,942,rio,942,scene0391_00-scene0391_01
0,137,1099,1647,scannet,473,scene0262_01
0,138,1789,712,rio,712,scene0294_02-scene0294_01
0,139,762,1341,scannet,167,scene0092_03
0,140,652,854,rio,854,scene0352_00-scene0352_01
0,141,841,1884,scannet,710,scene0396_00
0,142,2082,2327,scannet,1153,scene0668_00
0,143,967,1851,scannet,677,scene0379_00
0,144,1597,319,rio,319,scene0138_00-scene0138_02
0,145,849,825,rio,825,scene0341_00-scene0341_01
0,146,977,1831,scannet,657,scene0368_00
0,147,165,2024,scannet,850,scene0475_02
0,148,881,1651,scannet,477,scene0264_01
0,149,110,448,rio,448,scene0188_01-scene0188_03
0,150,1816,1042,rio,1042,scene0426_06-scene0426_07
0,151,629,565,rio,565,scene0234_01-scene0234_02
0,152,1727,2355,scannet,1181,scene0688_00
0,153,562,1450,scannet,276,scene0148_00
0,154,478,2297,scannet,1123,scene0641_00
0,155,1198,1279,scannet,105,scene0057_00
0,156,1675,754,rio,754,scene0312_02-scene0312_03
0,157,1511,2329,scannet,1155,scene0669_01
0,158,1106,204,rio,204,scene0085_02-scene0085_00
0,159,1923,180,rio,180,scene0077_00-scene0077_02
0,160,1536,1903,scannet,729,scene0407_00
0,161,1003,2287,scannet,1113,scene0632_00
0,162,450,49,rio,49,scene0017_00-scene0017_01
0,163,1936,1712,scannet,538,scene0294_01
0,164,899,1984,scannet,810,scene0452_01
0,165,433,833,rio,833,scene0343_01-scene0343_00
0,166,1447,1359,scannet,185,scene0101_04
0,167,1538,618,rio,618,scene0255_01-scene0255_00
0,168,1289,1045,rio,1045,scene0427_01-scene0427_04
0,169,1239,1895,scannet,721,scene0401_00
0,170,1461,51,rio,51,scene0017_02-scene0017_00
0,171,461,1308,scannet,134,scene0073_00
0,172,728,49,rio,49,scene0017_00-scene0017_01
0,173,847,1110,rio,1110,scene0453_00-scene0453_01
0,174,512,2284,scannet,1110,scene0631_00
0,175,1725,1113,rio,1113,scene0454_01-scene0454_02
0,176,1685,1094,rio,1094,scene0444_04-scene0444_02
0,177,1504,400,rio,400,scene0174_05-scene0174_02
0,178,8,987,rio,987,scene0407_02-scene0407_00
0,179,1273,2202,scannet,1028,scene0584_02
0,180,786,2068,scannet,894,scene0503_00
0,181,1086,471,rio,471,scene0197_00-scene0197_04
0,182,1726,1859,scannet,685,scene0383_01
0,183,386,841,rio,841,scene0344_01-scene0344_02
0,184,548,1131,rio,1131,scene0463_00-scene0463_01
0,185,1028,980,rio,980,scene0405_00-scene0405_01
0,186,1775,878,rio,878,scene0361_02-scene0361_01
0,187,1874,499,rio,499,scene0206_01-scene0206_00
0,188,1200,551,rio,551,scene0228_00-scene0228_04
0,189,2074,1931,scannet,757,scene0420_01
0,190,618,2354,scannet,1180,scene0687_00
0,191,1217,1569,scannet,395,scene0214_00
0,192,731,1804,scannet,630,scene0350_01
0,193,833,131,rio,131,scene0057_01-scene0057_02
0,194,805,2223,scannet,1049,scene0594_00
0,195,1996,2051,scannet,877,scene0491_00
0,196,1007,2305,scannet,1131,scene0649_00
0,197,1089,720,rio,720,scene0296_02-scene0296_00
0,198,1191,2081,scannet,907,scene0509_01
0,199,322,690,rio,690,scene0285_01-scene0285_00
0,200,581,2108,scannet,934,scene0524_00
0,201,1670,1787,scannet,613,scene0341_00
0,202,2004,945,rio,945,scene0392_01-scene0392_00
0,203,872,2051,scannet,877,scene0491_00
0,204,425,415,rio,415,scene0176_05-scene0176_03
0,205,2109,2097,scannet,923,scene0517_00
0,206,1425,1833,scannet,659,scene0369_00
0,207,991,1981,scannet,807,scene0451_04
0,208,1566,2024,scannet,850,scene0475_02
0,209,1290,1629,scannet,455,scene0252_00
0,210,2079,919,rio,919,scene0375_02-scene0375_00
0,211,1248,582,rio,582,scene0239_01-scene0239_00
0,212,1677,1979,scannet,805,scene0451_02
0,213,1824,984,rio,984,scene0406_02-scene0406_01
0,214,949,2346,scannet,1172,scene0677_02
0,215,880,1630,scannet,456,scene0253_00
0,216,1879,1270,scannet,96,scene0052_01
0,217,1458,783,rio,783,scene0324_00-scene0324_01
0,218,1424,352,rio,352,scene0156_00-scene0156_01
0,219,1714,578,rio,578,scene0237_02-scene0237_00
0,220,177,1710,scannet,536,scene0293_01
0,221,1117,1518,scannet,344,scene0184_00
0,222,26,111,rio,111,scene0047_02-scene0047_01
0,223,1434,681,rio,681,scene0281_00-scene0281_01
0,224,1636,379,rio,379,scene0167_01-scene0167_02
0,225,1632,2144,scannet,970,scene0543_01
0,226,1545,1945,scannet,771,scene0431_00
0,227,1155,1404,scannet,230,scene0121_01
0,228,1361,1794,scannet,620,scene0346_01
0,229,1383,1331,scannet,157,scene0087_01
0,230,1000,1423,scannet,249,scene0132_01
0,231,315,2328,scannet,1154,scene0669_00
0,232,294,1714,scannet,540,scene0295_00
0,233,278,1319,scannet,145,scene0078_02
0,234,1552,117,rio,117,scene0049_02-scene0049_01
0,235,103,1114,rio,1114,scene0454_02-scene0454_03
0,236,752,1755,scannet,581,scene0320_01
0,237,2067,1505,scannet,331,scene0177_01
0,238,552,486,rio,486,scene0201_00-scene0201_01
0,239,399,1763,scannet,589,scene0324_01
0,240,783,105,rio,105,scene0045_00-scene0045_01
0,241,818,647,rio,647,scene0267_01-scene0267_00
0,242,903,1638,scannet,464,scene0259_01
0,243,12,2367,scannet,1193,scene0703_00
0,244,1426,287,rio,287,scene0123_02-scene0123_00
0,245,2016,2344,scannet,1170,scene0677_00
0,246,1913,2205,scannet,1031,scene0586_00
0,247,107,664,rio,664,scene0275_02-scene0275_01
0,248,814,1648,scannet,474,scene0263_00
0,249,231,553,rio,553,scene0228_02-scene0228_06
0,250,589,1949,scannet,775,scene0434_02
0,251,1208,773,rio,773,scene0318_00-scene0318_03
0,252,1215,749,rio,749,scene0308_02-scene0308_01
0,253,388,316,rio,316,scene0136_01-scene0136_00
0,254,3,610,rio,610,scene0252_00-scene0252_01
0,255,1174,1435,scannet,261,scene0137_02
0,256,316,767,rio,767,scene0316_00-scene0316_01
0,257,464,855,rio,855,scene0352_01-scene0352_03
0,258,658,1125,rio,1125,scene0458_02-scene0458_01
0,259,211,2202,scannet,1028,scene0584_02
0,260,1413,88,rio,88,scene0035_01-scene0035_00
0,261,1661,13,rio,13,scene0005_00-scene0005_01
0,262,1548,1706,scannet,532,scene0291_02
0,263,565,1351,scannet,177,scene0098_00
0,264,2080,1067,rio,1067,scene0435_01-scene0435_00
0,265,639,1965,scannet,791,scene0446_00
0,266,1154,1033,rio,1033,scene0425_00-scene0425_02
0,267,642,1480,scannet,306,scene0165_00
0,268,649,1021,rio,1021,scene0423_06-scene0423_04
0,269,89,983,rio,983,scene0406_01-scene0406_00
0,270,390,858,rio,858,scene0353_00-scene0353_01
0,271,923,1240,scannet,66,scene0036_01
0,272,53,1425,scannet,251,scene0133_00
0,273,1526,139,rio,139,scene0062_00-scene0062_02
0,274,57,365,rio,365,scene0162_01-scene0162_00
0,275,511,1556,scannet,382,scene0209_00
0,276,528,457,rio,457,scene0194_00-scene0194_01
0,277,1688,1877,scannet,703,scene0393_01
0,278,1084,1797,scannet,623,scene0347_02
0,279,947,2036,scannet,862,scene0480_01
0,280,929,152,rio,152,scene0066_02-scene0066_01
0,281,1125,318,rio,318,scene0137_01-scene0137_00
0,282,1702,1367,scannet,193,scene0105_01
0,283,515,171,rio,171,scene0073_00-scene0073_01
0,284,654,1158,rio,1158,scene0473_00-scene0473_02
0,285,274,1037,rio,1037,scene0426_01-scene0426_04
0,286,1796,806,rio,806,scene0332_00-scene0332_01
0,287,1527,512,rio,512,scene0214_01-scene0214_00
0,288,724,322,rio,322,scene0141_00-scene0141_01
0,289,1156,1145,rio,1145,scene0467_02-scene0467_03
0,290,2104,1415,scannet,241,scene0126_01
0,291,1373,1310,scannet,136,scene0073_02
0,292,1962,470,rio,470,scene0196_04-scene0196_00
0,293,531,1444,scannet,270,scene0143_00
0,294,1749,1083,rio,1083,scene0442_01-scene0442_00
0,295,78,1649,scannet,475,scene0263_01
0,296,99,774,rio,774,scene0318_01-scene0318_00
0,297,1213,180,rio,180,scene0077_00-scene0077_02
0,298,2107,2020,scannet,846,scene0473_00
0,299,910,1323,scannet,149,scene0080_01
0,300,27,1454,scannet,280,scene0151_00
0,301,1249,1167,rio,1167,scene0475_02-scene0475_03
0,302,480,408,rio,408,scene0175_06-scene0175_00
0,303,46,237,rio,237,scene0101_02-scene0101_00
0,304,1697,366,rio,366,scene0163_00-scene0163_01
0,305,1277,1568,scannet,394,scene0213_00
0,306,1173,942,rio,942,scene0391_00-scene0391_01
0,307,1319,187,rio,187,scene0081_01-scene0081_02
0,308,1164,21,rio,21,scene0006_03-scene0006_01
0,309,1443,2187,scannet,1013,scene0576_00
0,310,1881,403,rio,403,scene0175_01-scene0175_07
0,311,429,1781,scannet,607,scene0337_01
0,312,1272,1676,scannet,502,scene0274_02
0,313,1074,1104,rio,1104,scene0448_01-scene0448_00
0,314,2086,2131,scannet,957,scene0537_00
0,315,1012,987,rio,987,scene0407_02-scene0407_00
0,316,2038,957,rio,957,scene0397_00-scene0397_01
0,317,1162,2270,scannet,1096,scene0626_01
0,318,476,1191,scannet,17,scene0008_00
0,319,864,341,rio,341,scene0151_00-scene0151_01
0,320,1146,1829,scannet,655,scene0367_00
0,321,1690,1289,scannet,115,scene0061_01
0,322,1329,1017,rio,1017,scene0423_02-scene0423_00
0,323,152,2073,scannet,899,scene0505_03
0,324,1835,2178,scannet,1004,scene0570_01
0,325,343,1331,scannet,157,scene0087_01
0,326,1710,2297,scannet,1123,scene0641_00
0,327,227,609,rio,609,scene0251_02-scene0251_00
0,328,798,2012,scannet,838,scene0470_00
0,329,1587,445,rio,445,scene0187_03-scene0187_02
0,330,2011,464,rio,464,scene0195_01-scene0195_02
0,331,592,1154,rio,1154,scene0472_01-scene0472_03
0,332,1267,1423,scannet,249,scene0132_01
0,333,1948,265,rio,265,scene0114_00-scene0114_01
0,334,21,676,rio,676,scene0277_06-scene0277_02
0,335,569,1359,scannet,185,scene0101_04
0,336,727,1791,scannet,617,scene0345_00
0,337,1467,610,rio,610,scene0252_00-scene0252_01
0,338,1120,1579,scannet,405,scene0220_01
0,339,1998,639,rio,639,scene0264_01-scene0264_00
0,340,832,1119,rio,1119,scene0456_00-scene0456_01
0,341,1991,1071,rio,1071,scene0436_01-scene0436_00
0,342,939,197,rio,197,scene0083_04-scene0083_00
0,343,1672,273,rio,273,scene0116_04-scene0116_03
0,344,51,1287,scannet,113,scene0060_01
0,345,735,909,rio,909,scene0372_01-scene0372_02
0,346,556,1954,scannet,780,scene0439_00
0,347,584,1726,scannet,552,scene0301_02
0,348,998,2362,scannet,1188,scene0692_04
0,349,1242,694,rio,694,scene0287_01-scene0287_03
0,350,1757,2053,scannet,879,scene0492_01
0,351,826,1671,scannet,497,scene0272_01
0,352,150,972,rio,972,scene0403_03-scene0403_04
0,353,161,788,rio,788,scene0325_02-scene0325_01
0,354,1858,37,rio,37,scene0012_01-scene0012_00
0,355,2049,1849,scannet,675,scene0376_01
0,356,236,954,rio,954,scene0395_02-scene0395_00
0,357,1681,984,rio,984,scene0406_02-scene0406_01
0,358,1561,369,rio,369,scene0164_01-scene0164_02
0,359,1840,149,rio,149,scene0065_02-scene0065_01
0,360,1098,2326,scannet,1152,scene0667_02
0,361,1240,1895,scannet,721,scene0401_00
0,362,1863,1146,rio,1146,scene0467_03-scene0467_01
0,363,405,225,rio,225,scene0095_02-scene0095_01
0,364,1569,1539,scannet,365,scene0199_00
0,365,1374,525,rio,525,scene0217_03-scene0217_04
0,366,707,787,rio,787,scene0325_01-scene0325_00
0,367,1365,2231,scannet,1057,scene0600_01
0,368,1403,1968,scannet,794,scene0447_01
0,369,1910,1469,scannet,295,scene0160_00
0,370,1350,379,rio,379,scene0167_01-scene0167_02
0,371,115,1098,rio,1098,scene0446_01-scene0446_00
0,372,715,1690,scannet,516,scene0283_00
0,373,258,13,rio,13,scene0005_00-scene0005_01
0,374,591,1355,scannet,181,scene0101_00
0,375,856,758,rio,758,scene0313_02-scene0313_01
0,376,262,445,rio,445,scene0187_03-scene0187_02
0,377,666,728,rio,728,scene0302_00-scene0302_01
0,378,671,66,rio,66,scene0026_01-scene0026_02
0,379,438,963,rio,963,scene0401_00-scene0401_02
0,380,1859,1634,scannet,460,scene0255_01
0,381,456,143,rio,143,scene0063_01-scene0063_00
0,382,1315,1228,scannet,54,scene0031_00
0,383,691,2343,scannet,1169,scene0676_01
0,384,1432,592,rio,592,scene0245_00-scene0245_01
0,385,1811,859,rio,859,scene0353_01-scene0353_02
0,386,1177,728,rio,728,scene0302_00-scene0302_01
0,387,1160,1302,scannet,128,scene0069_00
0,388,1790,889,rio,889,scene0364_01-scene0364_03
0,389,1770,1440,scannet,266,scene0141_01
0,390,2035,2106,scannet,932,scene0523_01
0,391,360,517,rio,517,scene0216_01-scene0216_04
0,392,435,47,rio,47,scene0016_01-scene0016_00
0,393,5,656,rio,656,scene0273_00-scene0273_01
0,394,1159,1169,rio,1169,scene0476_00-scene0476_01
0,395,1854,2201,scannet,1027,scene0584_01
0,396,1355,574,rio,574,scene0236_00-scene0236_01
0,397,1640,505,rio,505,scene0211_01-scene0211_00
0,398,1624,1159,rio,1159,scene0473_01-scene0473_03
0,399,657,2165,scannet,991,scene0557_02
0,400,1815,2193,scannet,1019,scene0579_02
0,401,2106,2037,scannet,863,scene0481_00
0,402,1441,1323,scannet,149,scene0080_01
0,403,1541,1714,scannet,540,scene0295_00
0,404,141,700,rio,700,scene0291_00-scene0291_02
0,405,737,1970,scannet,796,scene0448_00
0,406,286,290,rio,290,scene0124_00-scene0124_01
0,407,324,2104,scannet,930,scene0522_00
0,408,1588,607,rio,607,scene0251_00-scene0251_01
0,409,845,1678,scannet,504,scene0276_00
0,410,1391,14,rio,14,scene0005_01-scene0005_02
0,411,1758,1466,scannet,292,scene0158_01
0,412,97,2344,scannet,1170,scene0677_00
0,413,1999,1058,rio,1058,scene0432_03-scene0432_01
0,414,1246,308,rio,308,scene0132_01-scene0132_00
0,415,1827,1827,scannet,653,scene0365_02
0,416,1531,1735,scannet,561,scene0306_01
0,417,1229,801,rio,801,scene0329_01-scene0329_02
0,418,1253,2285,scannet,1111,scene0631_01
0,419,1584,249,rio,249,scene0105_02-scene0105_01
0,420,1567,566,rio,566,scene0234_02-scene0234_00
0,421,1817,39,rio,39,scene0013_01-scene0013_00
0,422,1269,345,rio,345,scene0153_00-scene0153_01
0,423,1320,819,rio,819,scene0337_01-scene0337_02
0,424,1765,650,rio,650,scene0268_02-scene0268_01
0,425,572,329,rio,329,scene0143_00-scene0143_02
0,426,1689,1879,scannet,705,scene0394_00
0,427,1034,1100,rio,1100,scene0447_00-scene0447_02
0,428,126,972,rio,972,scene0403_03-scene0403_04
0,429,180,1004,rio,1004,scene0416_01-scene0416_02
0,430,1353,111,rio,111,scene0047_02-scene0047_01
0,431,1832,279,rio,279,scene0121_00-scene0121_01
0,432,2057,226,rio,226,scene0096_00-scene0096_02
0,433,1178,286,rio,286,scene0123_01-scene0123_04
0,434,1210,1020,rio,1020,scene0423_05-scene0423_08
0,435,1750,807,rio,807,scene0332_01-scene0332_00
0,436,434,3,rio,3,scene0001_03-scene0001_02
0,437,693,608,rio,608,scene0251_01-scene0251_02
0,438,983,288,rio,288,scene0123_03-scene0123_01
0,439,674,959,rio,959,scene0398_00-scene0398_02
0,440,946,1055,rio,1055,scene0432_00-scene0432_02
0,441,566,352,rio,352,scene0156_00-scene0156_01
0,442,1941,2025,scannet,851,scene0476_00
0,443,919,1289,scannet,115,scene0061_01
0,444,1529,244,rio,244,scene0104_01-scene0104_03
0,445,684,95,rio,95,scene0038_01-scene0038_00
0,446,1486,2308,scannet,1134,scene0654_00
0,447,1851,374,rio,374,scene0165_01-scene0165_00
0,448,1723,428,rio,428,scene0183_00-scene0183_03
0,449,492,946,rio,946,scene0393_00-scene0393_01
0,450,1651,693,rio,693,scene0287_00-scene0287_01
0,451,1906,1264,scannet,90,scene0049_00
0,452,643,48,rio,48,scene0016_02-scene0016_01
0,453,1032,936,rio,936,scene0386_00-scene0386_01
0,454,758,1680,scannet,506,scene0279_00
0,455,756,743,rio,743,scene0306_03-scene0306_01
0,456,240,774,rio,774,scene0318_01-scene0318_00
0,457,1932,1880,scannet,706,scene0394_01
0,458,499,1034,rio,1034,scene0425_01-scene0425_00
0,459,1359,887,rio,887,scene0363_02-scene0363_00
0,460,364,1947,scannet,773,scene0434_00
0,461,1264,889,rio,889,scene0364_01-scene0364_03
0,462,1285,809,rio,809,scene0333_01-scene0333_00
0,463,1693,1299,scannet,125,scene0067_02
0,464,687,169,rio,169,scene0072_01-scene0072_02
0,465,2095,551,rio,551,scene0228_00-scene0228_04
0,466,884,1382,scannet,208,scene0112_00
0,467,1734,1806,scannet,632,scene0352_00
0,468,1518,282,rio,282,scene0122_00-scene0122_02
0,469,516,2052,scannet,878,scene0492_00
0,470,641,743,rio,743,scene0306_03-scene0306_01
0,471,736,984,rio,984,scene0406_02-scene0406_01
0,472,703,1344,scannet,170,scene0093_01
0,473,667,257,rio,257,scene0108_02-scene0108_00
0,474,495,2366,scannet,1192,scene0698_01
0,475,831,2168,scannet,994,scene0561_01
0,476,2032,628,rio,628,scene0258_03-scene0258_00
0,477,349,1411,scannet,237,scene0124_00
0,478,20,2008,scannet,834,scene0468_02
0,479,41,66,rio,66,scene0026_01-scene0026_02
0,480,335,734,rio,734,scene0304_00-scene0304_01
0,481,1676,1940,scannet,766,scene0425_00
0,482,1829,1391,scannet,217,scene0115_01
0,483,1457,1620,scannet,446,scene0245_00
0,484,105,606,rio,606,scene0248_02-scene0248_00
0,485,466,799,rio,799,scene0328_02-scene0328_01
0,486,1429,1105,rio,1105,scene0451_00-scene0451_01
0,487,1306,855,rio,855,scene0352_01-scene0352_03
0,488,1468,2321,scannet,1147,scene0666_00
0,489,218,538,rio,538,scene0223_00-scene0223_02
0,490,129,2350,scannet,1176,scene0680_01
0,491,489,1282,scannet,108,scene0058_01
0,492,1256,2258,scannet,1084,scene0617_00
0,493,207,357,rio,357,scene0158_01-scene0158_04
0,494,1020,1376,scannet,202,scene0110_00
0,495,1869,249,rio,249,scene0105_02-scene0105_01
0,496,1868,2278,scannet,1104,scene0630_01
0,497,1418,2006,scannet,832,scene0468_00
0,498,988,865,rio,865,scene0355_00-scene0355_01
0,499,508,2342,scannet,1168,scene0676_00
0,500,344,1641,scannet,467,scene0260_02
0,501,1668,1321,scannet,147,scene0079_01
0,502,80,1156,rio,1156,scene0472_03-scene0472_04
0,503,1305,1837,scannet,663,scene0370_01
0,504,913,531,rio,531,scene0218_03-scene0218_01
0,505,961,1230,scannet,56,scene0031_02
0,506,1195,1770,scannet,596,scene0331_01
0,507,1307,1250,scannet,76,scene0041_01
0,508,470,1537,scannet,363,scene0197_02
0,509,246,930,rio,930,scene0383_00-scene0383_01
0,510,426,1137,rio,1137,scene0465_00-scene0465_02
0,511,1822,1566,scannet,392,scene0212_01
0,512,593,1955,scannet,781,scene0439_01
0,513,1021,1594,scannet,420,scene0232_00
0,514,916,1090,rio,1090,scene0444_00-scene0444_03
0,515,801,641,rio,641,scene0265_00-scene0265_02
0,516,127,1000,rio,1000,scene0414_01-scene0414_00
0,517,890,850,rio,850,scene0348_02-scene0348_00
0,518,381,1292,scannet,118,scene0062_02
0,519,1780,59,rio,59,scene0023_01-scene0023_02
0,520,1462,784,rio,784,scene0324_01-scene0324_02
0,521,1565,1551,scannet,377,scene0205_01
0,522,1679,267,rio,267,scene0115_00-scene0115_01
0,523,1430,714,rio,714,scene0295_00-scene0295_02
0,524,1671,2214,scannet,1040,scene0588_02
0,525,1974,1024,rio,1024,scene0423_09-scene0423_10
0,526,1912,645,rio,645,scene0266_01-scene0266_00
0,527,1968,2180,scannet,1006,scene0571_00
0,528,1958,1220,scannet,46,scene0026_00
0,529,1076,682,rio,682,scene0281_01-scene0281_00
0,530,199,2367,scannet,1193,scene0703_00
0,531,1446,2353,scannet,1179,scene0683_00
0,532,56,648,rio,648,scene0268_00-scene0268_02
0,533,1857,1785,scannet,611,scene0340_01
0,534,270,932,rio,932,scene0384_00-scene0384_01
0,535,402,1939,scannet,765,scene0424_02
0,536,43,27,rio,27,scene0007_04-scene0007_03
0,537,810,1698,scannet,524,scene0288_00
0,538,317,1481,scannet,307,scene0165_01
0,539,403,1107,rio,1107,scene0452_00-scene0452_02
0,540,1514,1669,scannet,495,scene0271_01
0,541,597,360,rio,360,scene0158_04-scene0158_00
0,542,1571,1908,scannet,734,scene0409_01
0,543,123,1547,scannet,373,scene0204_00
0,544,1300,139,rio,139,scene0062_00-scene0062_02
0,545,677,201,rio,201,scene0084_03-scene0084_01
