population_id,reference_id,sequence_id,transition,scan_id,prior_point_count,current_point_count,status
development,0f2f2711-b736-2f71-8c6a-245a9d820a8c,scene0066_03-scene0066_04-scene0066_01-scene0066_00-scene0066_02,0->1,scene0066_03,69199,69199,IDENTICAL
development,0f2f2711-b736-2f71-8c6a-245a9d820a8c,scene0066_03-scene0066_04-scene0066_01-scene0066_00-scene0066_02,1->2,scene0066_04,70391,70391,IDENTICAL
development,0f2f2711-b736-2f71-8c6a-245a9d820a8c,scene0066_03-scene0066_04-scene0066_01-scene0066_00-scene0066_02,2->3,scene0066_01,110283,110283,IDENTICAL
development,0f2f2711-b736-2f71-8c6a-245a9d820a8c,scene0066_03-scene0066_04-scene0066_01-scene0066_00-scene0066_02,3->4,scene0066_00,111283,111283,IDENTICAL
development,0f2f2711-b736-2f71-8c6a-245a9d820a8c,scene0066_04-scene0066_01-scene0066_00-scene0066_02-scene0066_03,0->1,scene0066_04,70391,70391,IDENTICAL
development,0f2f2711-b736-2f71-8c6a-245a9d820a8c,scene0066_04-scene0066_01-scene0066_00-scene0066_02-scene0066_03,1->2,scene0066_01,110283,110283,IDENTICAL
development,0f2f2711-b736-2f71-8c6a-245a9d820a8c,scene0066_04-scene0066_01-scene0066_00-scene0066_02-scene0066_03,2->3,scene0066_00,111283,111283,IDENTICAL
development,0f2f2711-b736-2f71-8c6a-245a9d820a8c,scene0066_04-scene0066_01-scene0066_00-scene0066_02-scene0066_03,3->4,scene0066_02,104115,104115,IDENTICAL
development,10b17936-3938-2467-88ba-ba5fe2debf14,scene0068_00-scene0068_05-scene0068_03-scene0068_02-scene0068_04,0->1,scene0068_00,80507,80507,IDENTICAL
development,10b17936-3938-2467-88ba-ba5fe2debf14,scene0068_00-scene0068_05-scene0068_03-scene0068_02-scene0068_04,1->2,scene0068_05,72990,72990,IDENTICAL
development,10b17936-3938-2467-88ba-ba5fe2debf14,scene0068_00-scene0068_05-scene0068_03-scene0068_02-scene0068_04,2->3,scene0068_03,81494,81494,IDENTICAL
development,10b17936-3938-2467-88ba-ba5fe2debf14,scene0068_00-scene0068_05-scene0068_03-scene0068_02-scene0068_04,3->4,scene0068_02,28336,28336,IDENTICAL
development,10b17936-3938-2467-88ba-ba5fe2debf14,scene0068_01-scene0068_00-scene0068_05-scene0068_03-scene0068_02,0->1,scene0068_01,63280,63280,IDENTICAL
development,10b17936-3938-2467-88ba-ba5fe2debf14,scene0068_01-scene0068_00-scene0068_05-scene0068_03-scene0068_02,1->2,scene0068_00,80507,80507,IDENTICAL
development,10b17936-3938-2467-88ba-ba5fe2debf14,scene0068_01-scene0068_00-scene0068_05-scene0068_03-scene0068_02,2->3,scene0068_05,72990,72990,IDENTICAL
development,10b17936-3938-2467-88ba-ba5fe2debf14,scene0068_01-scene0068_00-scene0068_05-scene0068_03-scene0068_02,3->4,scene0068_03,81494,81494,IDENTICAL
development,10b17936-3938-2467-88ba-ba5fe2debf14,scene0068_02-scene0068_04-scene0068_01-scene0068_00-scene0068_05,0->1,scene0068_02,28336,28336,IDENTICAL
development,10b17936-3938-2467-88ba-ba5fe2debf14,scene0068_02-scene0068_04-scene0068_01-scene0068_00-scene0068_05,1->2,scene0068_04,77489,77489,IDENTICAL
development,10b17936-3938-2467-88ba-ba5fe2debf14,scene0068_02-scene0068_04-scene0068_01-scene0068_00-scene0068_05,2->3,scene0068_01,63280,63280,IDENTICAL
development,10b17936-3938-2467-88ba-ba5fe2debf14,scene0068_02-scene0068_04-scene0068_01-scene0068_00-scene0068_05,3->4,scene0068_00,80507,80507,IDENTICAL
development,10b17936-3938-2467-88ba-ba5fe2debf14,scene0068_03-scene0068_02-scene0068_04-scene0068_01-scene0068_00,0->1,scene0068_03,81494,81494,IDENTICAL
development,10b17936-3938-2467-88ba-ba5fe2debf14,scene0068_03-scene0068_02-scene0068_04-scene0068_01-scene0068_00,1->2,scene0068_02,28336,28336,IDENTICAL
development,10b17936-3938-2467-88ba-ba5fe2debf14,scene0068_03-scene0068_02-scene0068_04-scene0068_01-scene0068_00,2->3,scene0068_04,77489,77489,IDENTICAL
development,10b17936-3938-2467-88ba-ba5fe2debf14,scene0068_03-scene0068_02-scene0068_04-scene0068_01-scene0068_00,3->4,scene0068_01,63280,63280,IDENTICAL
development,10b17936-3938-2467-88ba-ba5fe2debf14,scene0068_04-scene0068_01-scene0068_00-scene0068_05-scene0068_03,0->1,scene0068_04,77489,77489,IDENTICAL
development,10b17936-3938-2467-88ba-ba5fe2debf14,scene0068_04-scene0068_01-scene0068_00-scene0068_05-scene0068_03,1->2,scene0068_01,63280,63280,IDENTICAL
development,10b17936-3938-2467-88ba-ba5fe2debf14,scene0068_04-scene0068_01-scene0068_00-scene0068_05-scene0068_03,2->3,scene0068_00,80507,80507,IDENTICAL
development,10b17936-3938-2467-88ba-ba5fe2debf14,scene0068_04-scene0068_01-scene0068_00-scene0068_05-scene0068_03,3->4,scene0068_05,72990,72990,IDENTICAL
development,10b17936-3938-2467-88ba-ba5fe2debf14,scene0068_05-scene0068_03-scene0068_02-scene0068_04-scene0068_01,0->1,scene0068_05,72990,72990,IDENTICAL
development,10b17936-3938-2467-88ba-ba5fe2debf14,scene0068_05-scene0068_03-scene0068_02-scene0068_04-scene0068_01,1->2,scene0068_03,81494,81494,IDENTICAL
development,10b17936-3938-2467-88ba-ba5fe2debf14,scene0068_05-scene0068_03-scene0068_02-scene0068_04-scene0068_01,2->3,scene0068_02,28336,28336,IDENTICAL
development,10b17936-3938-2467-88ba-ba5fe2debf14,scene0068_05-scene0068_03-scene0068_02-scene0068_04-scene0068_01,3->4,scene0068_04,77489,77489,IDENTICAL
development,1776ad7e-4db7-2333-89e1-66854e82170c,scene0083_00-scene0083_03-scene0083_01-scene0083_02-scene0083_04,0->1,scene0083_00,12469,12469,IDENTICAL
development,1776ad7e-4db7-2333-89e1-66854e82170c,scene0083_00-scene0083_03-scene0083_01-scene0083_02-scene0083_04,1->2,scene0083_03,22352,22352,IDENTICAL
development,1776ad7e-4db7-2333-89e1-66854e82170c,scene0083_00-scene0083_03-scene0083_01-scene0083_02-scene0083_04,2->3,scene0083_01,14710,14710,IDENTICAL
development,1776ad7e-4db7-2333-89e1-66854e82170c,scene0083_00-scene0083_03-scene0083_01-scene0083_02-scene0083_04,3->4,scene0083_02,15348,15348,IDENTICAL
development,1776ad7e-4db7-2333-89e1-66854e82170c,scene0083_01-scene0083_02-scene0083_04-scene0083_00-scene0083_03,0->1,scene0083_01,14710,14710,IDENTICAL
development,1776ad7e-4db7-2333-89e1-66854e82170c,scene0083_01-scene0083_02-scene0083_04-scene0083_00-scene0083_03,1->2,scene0083_02,15348,15348,IDENTICAL
development,1776ad7e-4db7-2333-89e1-66854e82170c,scene0083_01-scene0083_02-scene0083_04-scene0083_00-scene0083_03,2->3,scene0083_04,12000,12000,IDENTICAL
development,1776ad7e-4db7-2333-89e1-66854e82170c,scene0083_01-scene0083_02-scene0083_04-scene0083_00-scene0083_03,3->4,scene0083_00,12469,12469,IDENTICAL
development,1776ad7e-4db7-2333-89e1-66854e82170c,scene0083_02-scene0083_04-scene0083_00-scene0083_03-scene0083_01,0->1,scene0083_02,15348,15348,IDENTICAL
development,1776ad7e-4db7-2333-89e1-66854e82170c,scene0083_02-scene0083_04-scene0083_00-scene0083_03-scene0083_01,1->2,scene0083_04,12000,12000,IDENTICAL
development,1776ad7e-4db7-2333-89e1-66854e82170c,scene0083_02-scene0083_04-scene0083_00-scene0083_03-scene0083_01,2->3,scene0083_00,12469,12469,IDENTICAL
development,1776ad7e-4db7-2333-89e1-66854e82170c,scene0083_02-scene0083_04-scene0083_00-scene0083_03-scene0083_01,3->4,scene0083_03,22352,22352,IDENTICAL
development,1776ad7e-4db7-2333-89e1-66854e82170c,scene0083_03-scene0083_01-scene0083_02-scene0083_04-scene0083_00,0->1,scene0083_03,22352,22352,IDENTICAL
development,1776ad7e-4db7-2333-89e1-66854e82170c,scene0083_03-scene0083_01-scene0083_02-scene0083_04-scene0083_00,1->2,scene0083_01,14710,14710,IDENTICAL
development,1776ad7e-4db7-2333-89e1-66854e82170c,scene0083_03-scene0083_01-scene0083_02-scene0083_04-scene0083_00,2->3,scene0083_02,15348,15348,IDENTICAL
development,1776ad7e-4db7-2333-89e1-66854e82170c,scene0083_03-scene0083_01-scene0083_02-scene0083_04-scene0083_00,3->4,scene0083_04,12000,12000,IDENTICAL
development,1776ad7e-4db7-2333-89e1-66854e82170c,scene0083_04-scene0083_00-scene0083_03-scene0083_01-scene0083_02,0->1,scene0083_04,12000,12000,IDENTICAL
development,1776ad7e-4db7-2333-89e1-66854e82170c,scene0083_04-scene0083_00-scene0083_03-scene0083_01-scene0083_02,1->2,scene0083_00,12469,12469,IDENTICAL
development,1776ad7e-4db7-2333-89e1-66854e82170c,scene0083_04-scene0083_00-scene0083_03-scene0083_01-scene0083_02,2->3,scene0083_03,22352,22352,IDENTICAL
development,1776ad7e-4db7-2333-89e1-66854e82170c,scene0083_04-scene0083_00-scene0083_03-scene0083_01-scene0083_02,3->4,scene0083_01,14710,14710,IDENTICAL
development,2e36952b-e133-204c-911e-7644cb34e8b2,scene0123_00-scene0123_03-scene0123_02-scene0123_04-scene0123_01,0->1,scene0123_00,24758,24758,IDENTICAL
development,2e36952b-e133-204c-911e-7644cb34e8b2,scene0123_00-scene0123_03-scene0123_02-scene0123_04-scene0123_01,1->2,scene0123_03,21024,21024,IDENTICAL
development,2e36952b-e133-204c-911e-7644cb34e8b2,scene0123_00-scene0123_03-scene0123_02-scene0123_04-scene0123_01,2->3,scene0123_02,22732,22732,IDENTICAL
development,2e36952b-e133-204c-911e-7644cb34e8b2,scene0123_00-scene0123_03-scene0123_02-scene0123_04-scene0123_01,3->4,scene0123_04,24156,24156,IDENTICAL
development,2e36952b-e133-204c-911e-7644cb34e8b2,scene0123_01-scene0123_00-scene0123_03-scene0123_02-scene0123_04,0->1,scene0123_01,20942,20942,IDENTICAL
development,2e36952b-e133-204c-911e-7644cb34e8b2,scene0123_01-scene0123_00-scene0123_03-scene0123_02-scene0123_04,1->2,scene0123_00,24758,24758,IDENTICAL
development,2e36952b-e133-204c-911e-7644cb34e8b2,scene0123_01-scene0123_00-scene0123_03-scene0123_02-scene0123_04,2->3,scene0123_03,21024,21024,IDENTICAL
development,2e36952b-e133-204c-911e-7644cb34e8b2,scene0123_01-scene0123_00-scene0123_03-scene0123_02-scene0123_04,3->4,scene0123_02,22732,22732,IDENTICAL
development,2e36952b-e133-204c-911e-7644cb34e8b2,scene0123_02-scene0123_04-scene0123_01-scene0123_00-scene0123_03,0->1,scene0123_02,22732,22732,IDENTICAL
development,2e36952b-e133-204c-911e-7644cb34e8b2,scene0123_02-scene0123_04-scene0123_01-scene0123_00-scene0123_03,1->2,scene0123_04,24156,24156,IDENTICAL
development,2e36952b-e133-204c-911e-7644cb34e8b2,scene0123_02-scene0123_04-scene0123_01-scene0123_00-scene0123_03,2->3,scene0123_01,20942,20942,IDENTICAL
development,2e36952b-e133-204c-911e-7644cb34e8b2,scene0123_02-scene0123_04-scene0123_01-scene0123_00-scene0123_03,3->4,scene0123_00,24758,24758,IDENTICAL
development,2e36952b-e133-204c-911e-7644cb34e8b2,scene0123_03-scene0123_02-scene0123_04-scene0123_01-scene0123_00,0->1,scene0123_03,21024,21024,IDENTICAL
development,2e36952b-e133-204c-911e-7644cb34e8b2,scene0123_03-scene0123_02-scene0123_04-scene0123_01-scene0123_00,1->2,scene0123_02,22732,22732,IDENTICAL
development,2e36952b-e133-204c-911e-7644cb34e8b2,scene0123_03-scene0123_02-scene0123_04-scene0123_01-scene0123_00,2->3,scene0123_04,24156,24156,IDENTICAL
development,2e36952b-e133-204c-911e-7644cb34e8b2,scene0123_03-scene0123_02-scene0123_04-scene0123_01-scene0123_00,3->4,scene0123_01,20942,20942,IDENTICAL
development,2e36952b-e133-204c-911e-7644cb34e8b2,scene0123_04-scene0123_01-scene0123_00-scene0123_03-scene0123_02,0->1,scene0123_04,24156,24156,IDENTICAL
development,2e36952b-e133-204c-911e-7644cb34e8b2,scene0123_04-scene0123_01-scene0123_00-scene0123_03-scene0123_02,1->2,scene0123_01,20942,20942,IDENTICAL
development,2e36952b-e133-204c-911e-7644cb34e8b2,scene0123_04-scene0123_01-scene0123_00-scene0123_03-scene0123_02,2->3,scene0123_00,24758,24758,IDENTICAL
development,2e36952b-e133-204c-911e-7644cb34e8b2,scene0123_04-scene0123_01-scene0123_00-scene0123_03-scene0123_02,3->4,scene0123_03,21024,21024,IDENTICAL
development,4acaebba-6c10-2a2a-8650-34c2f160db99,scene0174_00-scene0174_06-scene0174_01-scene0174_05-scene0174_04,0->1,scene0174_00,79309,79309,IDENTICAL
development,4acaebba-6c10-2a2a-8650-34c2f160db99,scene0174_00-scene0174_06-scene0174_01-scene0174_05-scene0174_04,1->2,scene0174_06,88091,88091,IDENTICAL
development,4acaebba-6c10-2a2a-8650-34c2f160db99,scene0174_00-scene0174_06-scene0174_01-scene0174_05-scene0174_04,2->3,scene0174_01,77550,77550,IDENTICAL
development,4acaebba-6c10-2a2a-8650-34c2f160db99,scene0174_00-scene0174_06-scene0174_01-scene0174_05-scene0174_04,3->4,scene0174_05,62263,62263,IDENTICAL
development,4acaebba-6c10-2a2a-8650-34c2f160db99,scene0174_01-scene0174_05-scene0174_04-scene0174_02-scene0174_03,0->1,scene0174_01,77550,77550,IDENTICAL
development,4acaebba-6c10-2a2a-8650-34c2f160db99,scene0174_01-scene0174_05-scene0174_04-scene0174_02-scene0174_03,1->2,scene0174_05,62263,62263,IDENTICAL
development,4acaebba-6c10-2a2a-8650-34c2f160db99,scene0174_01-scene0174_05-scene0174_04-scene0174_02-scene0174_03,2->3,scene0174_04,79372,79372,IDENTICAL
development,4acaebba-6c10-2a2a-8650-34c2f160db99,scene0174_01-scene0174_05-scene0174_04-scene0174_02-scene0174_03,3->4,scene0174_02,67838,67838,IDENTICAL
development,4acaebba-6c10-2a2a-8650-34c2f160db99,scene0174_02-scene0174_03-scene0174_00-scene0174_06-scene0174_01,0->1,scene0174_02,67838,67838,IDENTICAL
development,4acaebba-6c10-2a2a-8650-34c2f160db99,scene0174_02-scene0174_03-scene0174_00-scene0174_06-scene0174_01,1->2,scene0174_03,81286,81286,IDENTICAL
development,4acaebba-6c10-2a2a-8650-34c2f160db99,scene0174_02-scene0174_03-scene0174_00-scene0174_06-scene0174_01,2->3,scene0174_00,79309,79309,IDENTICAL
development,4acaebba-6c10-2a2a-8650-34c2f160db99,scene0174_02-scene0174_03-scene0174_00-scene0174_06-scene0174_01,3->4,scene0174_06,88091,88091,IDENTICAL
development,4acaebba-6c10-2a2a-8650-34c2f160db99,scene0174_03-scene0174_00-scene0174_06-scene0174_01-scene0174_05,0->1,scene0174_03,81286,81286,IDENTICAL
development,4acaebba-6c10-2a2a-8650-34c2f160db99,scene0174_03-scene0174_00-scene0174_06-scene0174_01-scene0174_05,1->2,scene0174_00,79309,79309,IDENTICAL
development,4acaebba-6c10-2a2a-8650-34c2f160db99,scene0174_03-scene0174_00-scene0174_06-scene0174_01-scene0174_05,2->3,scene0174_06,88091,88091,IDENTICAL
development,4acaebba-6c10-2a2a-8650-34c2f160db99,scene0174_03-scene0174_00-scene0174_06-scene0174_01-scene0174_05,3->4,scene0174_01,77550,77550,IDENTICAL
development,4acaebba-6c10-2a2a-8650-34c2f160db99,scene0174_04-scene0174_02-scene0174_03-scene0174_00-scene0174_06,0->1,scene0174_04,79372,79372,IDENTICAL
development,4acaebba-6c10-2a2a-8650-34c2f160db99,scene0174_04-scene0174_02-scene0174_03-scene0174_00-scene0174_06,1->2,scene0174_02,67838,67838,IDENTICAL
development,4acaebba-6c10-2a2a-8650-34c2f160db99,scene0174_04-scene0174_02-scene0174_03-scene0174_00-scene0174_06,2->3,scene0174_03,81286,81286,IDENTICAL
development,4acaebba-6c10-2a2a-8650-34c2f160db99,scene0174_04-scene0174_02-scene0174_03-scene0174_00-scene0174_06,3->4,scene0174_00,79309,79309,IDENTICAL
development,4acaebba-6c10-2a2a-8650-34c2f160db99,scene0174_05-scene0174_04-scene0174_02-scene0174_03-scene0174_00,0->1,scene0174_05,62263,62263,IDENTICAL
development,4acaebba-6c10-2a2a-8650-34c2f160db99,scene0174_05-scene0174_04-scene0174_02-scene0174_03-scene0174_00,1->2,scene0174_04,79372,79372,IDENTICAL
development,4acaebba-6c10-2a2a-8650-34c2f160db99,scene0174_05-scene0174_04-scene0174_02-scene0174_03-scene0174_00,2->3,scene0174_02,67838,67838,IDENTICAL
development,4acaebba-6c10-2a2a-8650-34c2f160db99,scene0174_05-scene0174_04-scene0174_02-scene0174_03-scene0174_00,3->4,scene0174_03,81286,81286,IDENTICAL
development,4acaebba-6c10-2a2a-8650-34c2f160db99,scene0174_06-scene0174_01-scene0174_05-scene0174_04-scene0174_02,0->1,scene0174_06,88091,88091,IDENTICAL
development,4acaebba-6c10-2a2a-8650-34c2f160db99,scene0174_06-scene0174_01-scene0174_05-scene0174_04-scene0174_02,1->2,scene0174_01,77550,77550,IDENTICAL
development,4acaebba-6c10-2a2a-8650-34c2f160db99,scene0174_06-scene0174_01-scene0174_05-scene0174_04-scene0174_02,2->3,scene0174_05,62263,62263,IDENTICAL
development,4acaebba-6c10-2a2a-8650-34c2f160db99,scene0174_06-scene0174_01-scene0174_05-scene0174_04-scene0174_02,3->4,scene0174_04,79372,79372,IDENTICAL
development,4acaebc0-6c10-2a2a-852e-0226d6539299,scene0175_00-scene0175_04-scene0175_02-scene0175_03-scene0175_07,0->1,scene0175_00,37265,37265,IDENTICAL
development,4acaebc0-6c10-2a2a-852e-0226d6539299,scene0175_00-scene0175_04-scene0175_02-scene0175_03-scene0175_07,1->2,scene0175_04,34957,34957,IDENTICAL
development,4acaebc0-6c10-2a2a-852e-0226d6539299,scene0175_00-scene0175_04-scene0175_02-scene0175_03-scene0175_07,2->3,scene0175_02,39688,39688,IDENTICAL
development,4acaebc0-6c10-2a2a-852e-0226d6539299,scene0175_00-scene0175_04-scene0175_02-scene0175_03-scene0175_07,3->4,scene0175_03,35366,35366,IDENTICAL
development,4acaebc0-6c10-2a2a-852e-0226d6539299,scene0175_01-scene0175_06-scene0175_05-scene0175_00-scene0175_04,0->1,scene0175_01,34883,34883,IDENTICAL
development,4acaebc0-6c10-2a2a-852e-0226d6539299,scene0175_01-scene0175_06-scene0175_05-scene0175_00-scene0175_04,1->2,scene0175_06,36391,36391,IDENTICAL
development,4acaebc0-6c10-2a2a-852e-0226d6539299,scene0175_01-scene0175_06-scene0175_05-scene0175_00-scene0175_04,2->3,scene0175_05,37060,37060,IDENTICAL
development,4acaebc0-6c10-2a2a-852e-0226d6539299,scene0175_01-scene0175_06-scene0175_05-scene0175_00-scene0175_04,3->4,scene0175_00,37265,37265,IDENTICAL
development,4acaebc0-6c10-2a2a-852e-0226d6539299,scene0175_02-scene0175_03-scene0175_07-scene0175_01-scene0175_06,0->1,scene0175_02,39688,39688,IDENTICAL
development,4acaebc0-6c10-2a2a-852e-0226d6539299,scene0175_02-scene0175_03-scene0175_07-scene0175_01-scene0175_06,1->2,scene0175_03,35366,35366,IDENTICAL
development,4acaebc0-6c10-2a2a-852e-0226d6539299,scene0175_02-scene0175_03-scene0175_07-scene0175_01-scene0175_06,2->3,scene0175_07,32873,32873,IDENTICAL
development,4acaebc0-6c10-2a2a-852e-0226d6539299,scene0175_02-scene0175_03-scene0175_07-scene0175_01-scene0175_06,3->4,scene0175_01,34883,34883,IDENTICAL
development,4acaebc0-6c10-2a2a-852e-0226d6539299,scene0175_03-scene0175_07-scene0175_01-scene0175_06-scene0175_05,0->1,scene0175_03,35366,35366,IDENTICAL
development,4acaebc0-6c10-2a2a-852e-0226d6539299,scene0175_03-scene0175_07-scene0175_01-scene0175_06-scene0175_05,1->2,scene0175_07,32873,32873,IDENTICAL
development,4acaebc0-6c10-2a2a-852e-0226d6539299,scene0175_03-scene0175_07-scene0175_01-scene0175_06-scene0175_05,2->3,scene0175_01,34883,34883,IDENTICAL
development,4acaebc0-6c10-2a2a-852e-0226d6539299,scene0175_03-scene0175_07-scene0175_01-scene0175_06-scene0175_05,3->4,scene0175_06,36391,36391,IDENTICAL
development,4acaebc0-6c10-2a2a-852e-0226d6539299,scene0175_04-scene0175_02-scene0175_03-scene0175_07-scene0175_01,0->1,scene0175_04,34957,34957,IDENTICAL
development,4acaebc0-6c10-2a2a-852e-0226d6539299,scene0175_04-scene0175_02-scene0175_03-scene0175_07-scene0175_01,1->2,scene0175_02,39688,39688,IDENTICAL
development,4acaebc0-6c10-2a2a-852e-0226d6539299,scene0175_04-scene0175_02-scene0175_03-scene0175_07-scene0175_01,2->3,scene0175_03,35366,35366,IDENTICAL
development,4acaebc0-6c10-2a2a-852e-0226d6539299,scene0175_04-scene0175_02-scene0175_03-scene0175_07-scene0175_01,3->4,scene0175_07,32873,32873,IDENTICAL
development,4acaebc0-6c10-2a2a-852e-0226d6539299,scene0175_05-scene0175_00-scene0175_04-scene0175_02-scene0175_03,0->1,scene0175_05,37060,37060,IDENTICAL
development,4acaebc0-6c10-2a2a-852e-0226d6539299,scene0175_05-scene0175_00-scene0175_04-scene0175_02-scene0175_03,1->2,scene0175_00,37265,37265,IDENTICAL
development,4acaebc0-6c10-2a2a-852e-0226d6539299,scene0175_05-scene0175_00-scene0175_04-scene0175_02-scene0175_03,2->3,scene0175_04,34957,34957,IDENTICAL
development,4acaebc0-6c10-2a2a-852e-0226d6539299,scene0175_05-scene0175_00-scene0175_04-scene0175_02-scene0175_03,3->4,scene0175_02,39688,39688,IDENTICAL
development,4acaebc0-6c10-2a2a-852e-0226d6539299,scene0175_06-scene0175_05-scene0175_00-scene0175_04-scene0175_02,0->1,scene0175_06,36391,36391,IDENTICAL
development,4acaebc0-6c10-2a2a-852e-0226d6539299,scene0175_06-scene0175_05-scene0175_00-scene0175_04-scene0175_02,1->2,scene0175_05,37060,37060,IDENTICAL
development,4acaebc0-6c10-2a2a-852e-0226d6539299,scene0175_06-scene0175_05-scene0175_00-scene0175_04-scene0175_02,2->3,scene0175_00,37265,37265,IDENTICAL
