master_sequence_id,reference_scene_id,sequence_id,scan_id_1,scan_id_2,exact_ordered_pair_present,official_like_split,official_like_supervised,scene,sub_scenes,official_like_filepath
scene0079_09-scene0079_05-scene0079_04-scene0079_03-scene0079_07,137a8158-1db5-2cc0-8003-31c12610471e,scene0079_09-scene0079_05,scene0079_09,scene0079_05,false,,false,,,
scene0079_10-scene0079_02-scene0079_08-scene0079_00-scene0079_09,137a8158-1db5-2cc0-8003-31c12610471e,scene0079_10-scene0079_02,scene0079_10,scene0079_02,false,,false,,,
scene0079_11-scene0079_10-scene0079_02-scene0079_08-scene0079_00,137a8158-1db5-2cc0-8003-31c12610471e,scene0079_11-scene0079_10,scene0079_11,scene0079_10,false,,false,,,
scene0119_00-scene0119_02-scene0119_03-scene0119_01-scene0119_04,280d8ebb-6cc6-2788-9153-98959a2da801,scene0119_00-scene0119_02,scene0119_00,scene0119_02,true,validation,true,119,0;2,data/processed/rio/change_gt/validation/scene0119_00-scene0119_02.txt
scene0119_01-scene0119_04-scene0119_00-scene0119_02-scene0119_03,280d8ebb-6cc6-2788-9153-98959a2da801,scene0119_01-scene0119_04,scene0119_01,scene0119_04,false,,false,,,
scene0119_02-scene0119_03-scene0119_01-scene0119_04-scene0119_00,280d8ebb-6cc6-2788-9153-98959a2da801,scene0119_02-scene0119_03,scene0119_02,scene0119_03,false,,false,,,
scene0119_03-scene0119_01-scene0119_04-scene0119_00-scene0119_02,280d8ebb-6cc6-2788-9153-98959a2da801,scene0119_03-scene0119_01,scene0119_03,scene0119_01,false,,false,,,
scene0119_04-scene0119_00-scene0119_02-scene0119_03-scene0119_01,280d8ebb-6cc6-2788-9153-98959a2da801,scene0119_04-scene0119_00,scene0119_04,scene0119_00,true,validation,true,119,4;0,data/processed/rio/change_gt/validation/scene0119_04-scene0119_00.txt
scene0219_00-scene0219_03-scene0219_02-scene0219_01-scene0219_04,5630cfcf-12bf-2860-8784-83d28a611a83,scene0219_00-scene0219_03,scene0219_00,scene0219_03,false,,false,,,
scene0219_01-scene0219_04-scene0219_00-scene0219_03-scene0219_02,5630cfcf-12bf-2860-8784-83d28a611a83,scene0219_01-scene0219_04,scene0219_01,scene0219_04,false,,false,,,
scene0219_02-scene0219_01-scene0219_04-scene0219_00-scene0219_03,5630cfcf-12bf-2860-8784-83d28a611a83,scene0219_02-scene0219_01,scene0219_02,scene0219_01,true,validation,true,219,2;1,data/processed/rio/change_gt/validation/scene0219_02-scene0219_01.txt
scene0219_03-scene0219_02-scene0219_01-scene0219_04-scene0219_00,5630cfcf-12bf-2860-8784-83d28a611a83,scene0219_03-scene0219_02,scene0219_03,scene0219_02,false,,false,,,
scene0219_04-scene0219_00-scene0219_03-scene0219_02-scene0219_01,5630cfcf-12bf-2860-8784-83d28a611a83,scene0219_04-scene0219_00,scene0219_04,scene0219_00,true,validation,true,219,4;0,data/processed/rio/change_gt/validation/scene0219_04-scene0219_00.txt
scene0309_00-scene0309_02-scene0309_01-scene0309_04-scene0309_03,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_00-scene0309_02,scene0309_00,scene0309_02,true,validation,true,309,0;2,data/processed/rio/change_gt/validation/scene0309_00-scene0309_02.txt
scene0309_01-scene0309_04-scene0309_03-scene0309_00-scene0309_02,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_01-scene0309_04,scene0309_01,scene0309_04,true,validation,true,309,1;4,data/processed/rio/change_gt/validation/scene0309_01-scene0309_04.txt
scene0309_02-scene0309_01-scene0309_04-scene0309_03-scene0309_00,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_02-scene0309_01,scene0309_02,scene0309_01,true,validation,true,309,2;1,data/processed/rio/change_gt/validation/scene0309_02-scene0309_01.txt
scene0309_03-scene0309_00-scene0309_02-scene0309_01-scene0309_04,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_03-scene0309_00,scene0309_03,scene0309_00,true,validation,true,309,3;0,data/processed/rio/change_gt/validation/scene0309_03-scene0309_00.txt
scene0309_04-scene0309_03-scene0309_00-scene0309_02-scene0309_01,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_04-scene0309_03,scene0309_04,scene0309_03,true,validation,true,309,4;3,data/processed/rio/change_gt/validation/scene0309_04-scene0309_03.txt
scene0449_00-scene0449_04-scene0449_05-scene0449_03-scene0449_01,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_00-scene0449_04,scene0449_00,scene0449_04,false,,false,,,
scene0449_01-scene0449_02-scene0449_00-scene0449_04-scene0449_05,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_01-scene0449_02,scene0449_01,scene0449_02,false,,false,,,
scene0449_02-scene0449_00-scene0449_04-scene0449_05-scene0449_03,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_02-scene0449_00,scene0449_02,scene0449_00,true,validation,true,449,2;0,data/processed/rio/change_gt/validation/scene0449_02-scene0449_00.txt
scene0449_03-scene0449_01-scene0449_02-scene0449_00-scene0449_04,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_03-scene0449_01,scene0449_03,scene0449_01,true,validation,true,449,3;1,data/processed/rio/change_gt/validation/scene0449_03-scene0449_01.txt
scene0449_04-scene0449_05-scene0449_03-scene0449_01-scene0449_02,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_04-scene0449_05,scene0449_04,scene0449_05,false,,false,,,
scene0449_05-scene0449_03-scene0449_01-scene0449_02-scene0449_00,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_05-scene0449_03,scene0449_05,scene0449_03,true,validation,true,449,5;3,data/processed/rio/change_gt/validation/scene0449_05-scene0449_03.txt
